AB812029.1__O70	O70
AB353132.1__O55	O55
SRR1982228__Onovel31	Onovel31
AB811598.1__O8	O8
DQ008592.1__O174	O174
SRR2085677__Onovel4	Onovel4
AY771223.1__O45	O45
AY545992.1__O172	O172
SRR2970219__Onovel10	Onovel10
AB811624.1__O50	O50
AB811596.1__O5	O5
AB812059.1__O136	O136
AP010960__O111	O111
CP006262.1__O145	O145
AB812064.1__O154	O154
GU445927.1__O71	O71
FJ539195.1__O63	O63
DQ008593.1__O177	O177
AB812085.1__O54	O54
EU694098.1__O21	O21
EU296413.1__O112	O112
AB812025.1__O64	O64
AB812045.1__O100	O100
EF027116.1__O103	O103
EU694095.1__O107	O107
DQ868765.1__O141	O141
AB812065.1__O156	O156
AB812077.1__O180	O180
SRR2970151__Onovel8	Onovel8
AB972423.1__O137	O137
SRR2960801__Onovel26	Onovel26
GU220362.1__O61	O61
GU014555.1__O27	O27
SRR2970183__Onovel29	Onovel29
AB812041.1__O93	O93
EU294170.1__O152	O152
AB811597.1__O6	O6
EU294171.1__O105	O105
AB812036.1__O84	O84
EU294173.1__O29	O29
AB811607.1__O23	O23
AB812068.1__O163	O163
AB812052.1__O120	O120
AB811606.1__O22	O22
AB602250.1__O157	O157
GU299794.1__O166	O166
AB812027.1__O68	O68
AY493508.1__O127	O127
ERS085421__O2var1	O2var1
AY657020.1__O155	O155
SRR1269403__Onovel18	Onovel18
JX087966.1__O102	O102
AB812028.1__O69	O69
AB812081.1__O185	O185
AB812076.1__O179	O179
HM204927.1__O118	O118
AB812070.1__O170	O170
AB972425.1__O164	O164
CP002185.1__O6	O6
SRR2085700__Onovel23	Onovel23
AB811622.1__O48	O48
DQ868766.1__O147	O147
AB812073.1__O175	O175
SRR2970275__Onovel5	Onovel5
DQ167407.1__O148	O148
AB812060.1__O140	O140
DQ462205.1__O28ac-O42	O28ac-O42
GU299791.1__O1	O1
AB811614.1__O37	O37
GU068044.1__O158	O158
JN859208.1__O45	O45
AB812034.1__O82	O82
CU463050.1__O45	O45
AB811616.1__O39	O39
AB812057.1__O133	O133
AB812043.1__O96	O96
FJ940774.1__O35	O35
AY208937.1__O121	O121
AF529080.1__O26	O26
DQ000313.1__O73	O73
AB811615.1__O38	O38
AF013583.1__O8	O8
AB812080.1__O184	O184
EU694096.1__O117	O117
ERS085345__O116var1	O116var1
AB704860.1__O103	O103
SRR1570089__Onovel3	Onovel3
AB811602.1__O18ab	O18ab
AY568960.1__O4	O4
AB812031.1__O76	O76
JN859216.1__O121	O121
GQ499368.1__O119	O119
AF078736.1__O111	O111
AF461121.1__O55	O55
AB812021.1__O53	O53
JN859200.1__O45	O45
SRR1198904__Onovel2	Onovel2
EU296410.1__O32	O32
FJ940775.1__O78	O78
EU694097.1__O3	O3
AB812033.1__O81	O81
AB811613.1__O36	O36
AB602249.1__O157	O157
EU294168.1__O150	O150
AB811611.1__O33	O33
AB811621.1__O46	O46
AY573377.1__O114	O114
AB811600.1__O12	O12
ERR084477__Onovel13	Onovel13
AB812056.1__O132	O132
ERS085400__O124var1	O124var1
SRR2970162__Onovel27	Onovel27
AF125322.1__O7	O7
AB602253.1__O157	O157
AB812030.1__O74	O74
AB972421.1__O129-O13-O135	O129-O13-O135
AF172324.1__O113	O113
AB812055.1__O131	O131
JN859212.1__O121	O121
AB812039.1__O90	O90
SRR2970153__Onovel9	Onovel9
AB627352.1__O183	O183
ERR769193__Onovel16	Onovel16
AB812020.1__O51	O51
AB812079.1__O182	O182
ERR084469__Onovel12	Onovel12
ERR119540__Onovel15	Onovel15
JN859209.1__O121	O121
AY670704.1__O86	O86
ERR178232__Onovel1	Onovel1
ERS150902__O108var1	O108var1
SRR2890038__Onovel3	Onovel3
DQ220292.1__O24	O24
AB812032.1__O80	O80
SRR1269405__Onovel19	Onovel19
AB812083.1__O187	O187
HM485572.1__O109	O109
AB811608.1__O28ab	O28ab
SRR1272883__Onovel20	Onovel20
AB812069.1__O169	O169
AB812084.1__O17-O44-O77	O17-O44-O77
DQ109552.1__O139	O139
AB812075.1__O178	O178
AY654590.1__O59	O59
AF061251.1__O157	O157
AB812049.1__O110	O110
AB972424.1__O151	O151
SRR1505391__O22	O22
SRR2970229__Onovel11	Onovel11
AB812063.1__O153	O153
AB812037.1__O88	O88
AF361371.1__O104	O104
AB811601.1__O16	O16
AB812074.1__O176	O176
FM180568.1__O127	O127
AB811604.1__O19	O19
AB812061.1__O142	O142
GU014554.1__O25	O25
AY647260.1__O145	O145
AB811599.1__O10	O10
SRR2960802__Onovel1	Onovel1
AB812026.1__O65	O65
ERR119553__O40	O40
AB812058.1__O134	O134
EU296420.1__O164	O164
EU294175.1__O58	O58
DQ220293.1__O56	O56
EU294176.1__O159	O159
ERS139265__O153var1	O153var1
AY532664.1__O103	O103
DQ465247.1__O117	O117
ERS085437__O153var2	O153var2
HQ388393.1__O11	O11
SRR2724181__Onovel24	Onovel24
GU299795.1__O75	O75
DQ109551.1__O138	O138
DQ000315.1__O106	O106
AB812047.1__O102	O102
SRR2912311__Onovel25	Onovel25
EU296403.1__O168	O168
ERR119568__O174	O174
AB812035.1__O83	O83
GU299798.1__O85	O85
AB812078.1__O181	O181
EU296421.1__O130	O130
AJ426045.2__O6	O6
AB811623.1__O49	O49
SRR2970185__Onovel30	Onovel30
AB811612.1__O34	O34
EU296408.1__O167	O167
ERR089731__Onovel14	Onovel14
AB811605.1__O20	O20
DQ180602.1__O98	O98
DQ465248.1__O126	O126
AB812066.1__O160	O160
AY217096.1__O128	O128
AB812024.1__O63	O63
EU294162.1__O79	O79
DQ868764.1__O149	O149
AY220982.1__O86	O86
GU068046.1__O173	O173
AY647261.1__O15	O15
AB811603.1__O18ac	O18ac
DQ676933.1__O123-O186	O123-O186
EU294177.1__O87	O87
EF027119.1__O103	O103
AB812053.1__O125	O125
AB972420.1__O124	O124
EU296424.1__O129	O129
SRR1505461__Onovel21	Onovel21
AY035396.1__O91	O91
DQ069297.1__O66	O66
AB812071.1__O171	O171
AY667408.1__O86	O86
EU296417.1__O40	O40
GU299793.1__O18	O18
AB811617.1__O41	O41
SRR1181555__Onovel17	Onovel17
SRR2970282__Onovel6	Onovel6
GU068041.1__O115	O115
AB811619.1__O43	O43
GU220361.1__O161	O161
AB490074.1__O7	O7
AB811609.1__O28ac	O28ac
GU068045.1__O165	O165
SRR2970178__Onovel28	Onovel28
JQ751058.1__O180	O180
SRR2970285__Onovel7	Onovel7
EU294164.1__O143	O143
AB812050.1__O112	O112
AB812048.1__O108	O108
AB812023.1__O62	O62
AB812062.1__O144	O144
EU549863.1__O2	O2
SRR1918972__Onovel22	Onovel22
DQ465249.1__O146	O146
AB811610.1__O30	O30
EU296419.1__O124	O124
AB812051.1__O116	O116
GU068042.1__O126	O126
